R&D Spend,Administration,Marketing Spend,State,Profit
74908.0237694725,154724.25710296177,92566.46441930982,India,123048.69698063887
190142.86128198323,130414.45495161806,270950.47368917905,Canada,330381.06075124466
146398.78836228102,96429.14244294916,436472.91793820413,Canada,363978.03540835174
119731.69683940732,172069.2529560423,366112.4432047806,India,342048.1849527506
31203.728088487303,152709.6758830819,403280.5739307249,USA,274807.77956935996
31198.904067240528,74392.5409017337,329391.68335535866,USA,192511.34838436075
11616.722433639892,186639.07767407637,346138.28225892625,Canada,262285.6724118878
173235.22915498703,173380.58643847535,424597.82578265964,USA,399730.6806863226
120223.00234864176,192469.9869937886,124834.00442959297,India,215790.30940164783
141614.5155592091,158857.92625825398,244712.48182157023,USA,264639.87205416465
4116.898859160489,142012.2793903685,110604.72090980111,Canada,92333.91833550928
193981.97043239887,112736.45544359283,493834.0039983235,India,418227.46069762076
166488.52816008436,189909.272503102,472029.66984330665,USA,422719.5180021829
42467.82213565523,179909.58342506125,19713.40568425295,Germany,132038.0051810159
36364.99344142013,56782.80051592841,352787.58625784423,India,195082.6051782096
36680.90197068676,53955.0461745878,462624.1587078329,India,244572.08682530734
60848.448591907545,106469.50503170743,90287.67256366677,Germany,155186.8532147438
104951.28632644757,171582.99961727494,283972.6152763147,Germany,273235.7630414606
86389.00372842315,198091.41939724167,457744.14879402093,India,344029.24842572317
58245.82803960838,72562.53366552922,16972.98929289942,Germany,97650.01092571672
122370.5789444759,139119.60730282025,348710.13362341997,Canada,301875.1013633995
27898.772130408368,107133.62849465323,148674.5036862754,Canada,165316.5523667991
58428.92970704363,195487.1596721905,462198.0976882652,Canada,350046.85793821
73272.36865873834,176317.8384703563,485529.12258268386,India,344519.5795965254
91213.99684340719,175749.30570667068,472133.24455671693,Germany,404908.77573039546
157035.1922786027,120303.97396924555,237107.10832873188,Germany,268158.60171795497
39934.75643167195,112222.92535064978,431021.3254946567,USA,295967.25293804694
102846.88768272231,91011.06078960594,422274.6992675352,USA,326704.02962495707
118482.91377240849,58456.32449763907,159550.23662162782,Germany,218133.1724660084
9290.082543999544,179708.35643825796,414457.73707533866,Germany,299803.66543888336
121508.97038028768,171935.15136951162,18503.81735774631,Germany,158679.7133752721
34104.82473745831,199957.65099291957,298134.9392410265,India,221270.26730143212
13010.318597055903,199495.52556108581,115004.41864385153,Germany,136958.56472667857
189777.10745066666,133314.75584039412,60283.4428886394,USA,208403.52676192913
193126.40661491186,165348.11227707658,38476.60081460458,India,263611.6043328872
161679.4696232922,191714.8594823642,348144.3879390699,Germany,363660.93413453276
60922.753834674135,177447.10860161172,169937.48188403307,USA,179634.64556399718
19534.422801276774,87102.21526147965,362383.38576438074,India,226643.50181895384
136846.6053024314,117581.62029651403,32678.170399471186,Germany,134148.329740041
88030.49874792025,69373.91227272425,157645.16891530517,Germany,150626.87636759304
24407.646968955763,193107.65408880837,269745.6461876686,Germany,236339.51505452994
99035.38202225404,140926.19516763202,395361.58241948177,India,306049.0697984058
6877.704223043679,84296.42082551941,159376.25146603497,USA,89540.99570546945
181864.0804157564,150755.1026608785,312945.68821850454,USA,357923.6942906667
51755.99632000338,142719.23606868437,442988.8741180936,Canada,329429.08802891476
132504.4568707964,103724.40770492607,307931.5940911523,Germany,305465.7510669924
62342.21521788219,67033.63882994435,116479.73737681688,Canada,148144.6862278138
104013.60423556216,150735.97933891992,12200.39077826901,Canada,119395.970807871
109342.05586865592,128046.15513556899,435049.43695046497,USA,314975.99637599103
36970.89110510541,165847.7587603459,10634.70542519357,India,114675.06626389462
193916.9255529117,128024.52516679901,437350.8363420997,India,405762.7193865762
155026.5646722229,177827.22504778102,264468.567013606,USA,304587.04242981464
187899.78831283783,132786.02581617283,469533.8492564481,India,451486.44586032734
178965.47008552976,134140.69573030795,399391.6178868327,Canada,394234.9939189458
119579.99576221703,181498.04039875176,498967.0552666687,Germany,408714.69180436566
184374.84700462336,110522.42993185956,175355.90772585507,USA,311634.60734420584
17698.5004103839,70102.28426759611,383594.14446556347,Germany,214116.19323376482
39196.57248382904,54317.40144700085,200965.4568046211,India,166692.00938509876
9045.457782107613,163270.58835104285,239937.8101519544,Germany,177326.71030491785
65066.06615265287,143046.4327030197,313752.73160918505,India,257214.99411488586
77735.4579378964,155611.96521488353,436838.55709316937,India,357860.6029896175
54269.80635477918,81944.62422633661,492041.7345996476,Canada,324176.8147773406
165747.50183038588,70455.72133801546,384136.7069322591,India,356568.99291283556
71350.66533871785,52181.69985018229,208883.39108366688,Canada,198626.88451405845
56186.901937476156,102588.13382098955,210678.5011385351,Canada,173766.15767468762
108539.21663164969,138487.65302819497,368791.15079444577,Canada,295989.05126422097
28184.844994952527,108836.60676495984,119388.57288415117,USA,93996.9605871049
160439.39615080794,115621.23830355937,55237.05656569733,USA,151329.2849070428
14910.128735954164,185623.80417406227,177311.07882038827,India,197394.92624998259
197377.38732010347,102238.32005349506,143619.49582704087,Canada,238318.98647121806
154448.9538593315,127098.42337397161,148154.06022799504,USA,231340.64774193877
39743.13630683448,167547.95191117146,116803.87552495497,Canada,134924.56638351807
1104.42342472048,109481.41734819053,21046.59481818094,Germany,50399.39530950602
163092.28569096682,143313.00503418103,8936.967366706906,Germany,194250.95799716716
141371.46876952343,179354.5563120118,493861.19486801577,Germany,431043.60911042505
145801.43360819746,192428.0935486463,213886.56686793116,India,269651.30961373873
154254.06933718914,72061.02213935569,192163.32357984083,Canada,237760.78962575019
14808.930346818071,188988.14377422415,339823.64134653495,Germany,244107.00709275514
71693.14570885453,123817.44396193072,109126.94393253209,USA,144089.39919825795
23173.81190502594,88736.65824484375,474980.5919751127,Germany,314797.25450543006
172620.6851751187,118870.3634357392,393172.507207776,Germany,380163.4098074698
124659.62536551159,197004.88629282155,44705.50115612976,Germany,195879.47247931696
66179.60497052984,123892.71409893045,208790.38789246418,India,207764.31752568332
12711.670057204727,99312.74154312623,439559.15378108236,USA,283212.21254894935
62196.464343132444,145010.12814750886,472366.0111457051,Canada,333063.6466656853
65036.66440534941,86021.84281672895,233700.75562493486,USA,168749.6232226487
145921.2356676128,61379.49921629959,306705.69460535387,Canada,296497.44463670993
127511.49427104263,69331.95828659738,83516.97304603762,India,151540.13154999554
177442.5485152653,69206.87584366587,495584.31306848826,India,399935.924464561
94442.98503238986,72785.40402684416,115835.8506917217,India,167035.21495492785
23918.84918766034,70824.07589741152,471365.88706756284,India,300830.90708180587
142648.95744459901,146131.21172048218,324823.32449618424,Canada,320795.6232546372
152157.00972337948,77282.01265987172,303868.39743942954,Germany,303021.07054835913
